Q000000	en	what is machine learning	D000000	Machine learning is a subset of AI that enables systems to learn from data.
Q000001	en	how does neural network work	D000001	Neural networks are computing systems inspired by biological neurons.
Q000002	en	explain deep learning	D000002	Deep learning uses multiple layers of neural networks.
Q000003	en	what is transfer learning	D000003	Transfer learning reuses knowledge from one task to another.
Q000004	en	transformer architecture	D000004	Transformers use attention mechanisms for sequence processing.
Q000005	en	what is machine learning	D000005	Machine learning is a subset of AI that enables systems to learn from data.
Q000006	en	how does neural network work	D000006	Neural networks are computing systems inspired by biological neurons.
Q000007	en	explain deep learning	D000007	Deep learning uses multiple layers of neural networks.
Q000008	en	what is transfer learning	D000008	Transfer learning reuses knowledge from one task to another.
Q000009	en	transformer architecture	D000009	Transformers use attention mechanisms for sequence processing.
Q000010	en	what is machine learning	D000010	Machine learning is a subset of AI that enables systems to learn from data.
Q000011	en	how does neural network work	D000011	Neural networks are computing systems inspired by biological neurons.
Q000012	en	explain deep learning	D000012	Deep learning uses multiple layers of neural networks.
Q000013	en	what is transfer learning	D000013	Transfer learning reuses knowledge from one task to another.
Q000014	en	transformer architecture	D000014	Transformers use attention mechanisms for sequence processing.
Q000015	en	what is machine learning	D000015	Machine learning is a subset of AI that enables systems to learn from data.
Q000016	en	how does neural network work	D000016	Neural networks are computing systems inspired by biological neurons.
Q000017	en	explain deep learning	D000017	Deep learning uses multiple layers of neural networks.
Q000018	en	what is transfer learning	D000018	Transfer learning reuses knowledge from one task to another.
Q000019	en	transformer architecture	D000019	Transformers use attention mechanisms for sequence processing.
Q000020	en	what is machine learning	D000020	Machine learning is a subset of AI that enables systems to learn from data.
Q000021	en	how does neural network work	D000021	Neural networks are computing systems inspired by biological neurons.
Q000022	en	explain deep learning	D000022	Deep learning uses multiple layers of neural networks.
Q000023	en	what is transfer learning	D000023	Transfer learning reuses knowledge from one task to another.
Q000024	en	transformer architecture	D000024	Transformers use attention mechanisms for sequence processing.
Q000025	en	what is machine learning	D000025	Machine learning is a subset of AI that enables systems to learn from data.
Q000026	en	how does neural network work	D000026	Neural networks are computing systems inspired by biological neurons.
Q000027	en	explain deep learning	D000027	Deep learning uses multiple layers of neural networks.
Q000028	en	what is transfer learning	D000028	Transfer learning reuses knowledge from one task to another.
Q000029	en	transformer architecture	D000029	Transformers use attention mechanisms for sequence processing.
Q000030	en	what is machine learning	D000030	Machine learning is a subset of AI that enables systems to learn from data.
Q000031	en	how does neural network work	D000031	Neural networks are computing systems inspired by biological neurons.
Q000032	en	explain deep learning	D000032	Deep learning uses multiple layers of neural networks.
Q000033	en	what is transfer learning	D000033	Transfer learning reuses knowledge from one task to another.
Q000034	en	transformer architecture	D000034	Transformers use attention mechanisms for sequence processing.
Q000035	en	what is machine learning	D000035	Machine learning is a subset of AI that enables systems to learn from data.
Q000036	en	how does neural network work	D000036	Neural networks are computing systems inspired by biological neurons.
Q000037	en	explain deep learning	D000037	Deep learning uses multiple layers of neural networks.
Q000038	en	what is transfer learning	D000038	Transfer learning reuses knowledge from one task to another.
Q000039	en	transformer architecture	D000039	Transformers use attention mechanisms for sequence processing.
Q000040	en	what is machine learning	D000040	Machine learning is a subset of AI that enables systems to learn from data.
Q000041	en	how does neural network work	D000041	Neural networks are computing systems inspired by biological neurons.
Q000042	en	explain deep learning	D000042	Deep learning uses multiple layers of neural networks.
Q000043	en	what is transfer learning	D000043	Transfer learning reuses knowledge from one task to another.
Q000044	en	transformer architecture	D000044	Transformers use attention mechanisms for sequence processing.
Q000045	en	what is machine learning	D000045	Machine learning is a subset of AI that enables systems to learn from data.
Q000046	en	how does neural network work	D000046	Neural networks are computing systems inspired by biological neurons.
Q000047	en	explain deep learning	D000047	Deep learning uses multiple layers of neural networks.
Q000048	en	what is transfer learning	D000048	Transfer learning reuses knowledge from one task to another.
Q000049	en	transformer architecture	D000049	Transformers use attention mechanisms for sequence processing.
Q000050	en	what is machine learning	D000050	Machine learning is a subset of AI that enables systems to learn from data.
Q000051	en	how does neural network work	D000051	Neural networks are computing systems inspired by biological neurons.
Q000052	en	explain deep learning	D000052	Deep learning uses multiple layers of neural networks.
Q000053	en	what is transfer learning	D000053	Transfer learning reuses knowledge from one task to another.
Q000054	en	transformer architecture	D000054	Transformers use attention mechanisms for sequence processing.
Q000055	en	what is machine learning	D000055	Machine learning is a subset of AI that enables systems to learn from data.
Q000056	en	how does neural network work	D000056	Neural networks are computing systems inspired by biological neurons.
Q000057	en	explain deep learning	D000057	Deep learning uses multiple layers of neural networks.
Q000058	en	what is transfer learning	D000058	Transfer learning reuses knowledge from one task to another.
Q000059	en	transformer architecture	D000059	Transformers use attention mechanisms for sequence processing.
Q000060	en	what is machine learning	D000060	Machine learning is a subset of AI that enables systems to learn from data.
Q000061	en	how does neural network work	D000061	Neural networks are computing systems inspired by biological neurons.
Q000062	en	explain deep learning	D000062	Deep learning uses multiple layers of neural networks.
Q000063	en	what is transfer learning	D000063	Transfer learning reuses knowledge from one task to another.
Q000064	en	transformer architecture	D000064	Transformers use attention mechanisms for sequence processing.
Q000065	en	what is machine learning	D000065	Machine learning is a subset of AI that enables systems to learn from data.
Q000066	en	how does neural network work	D000066	Neural networks are computing systems inspired by biological neurons.
Q000067	en	explain deep learning	D000067	Deep learning uses multiple layers of neural networks.
Q000068	en	what is transfer learning	D000068	Transfer learning reuses knowledge from one task to another.
Q000069	en	transformer architecture	D000069	Transformers use attention mechanisms for sequence processing.
Q000070	en	what is machine learning	D000070	Machine learning is a subset of AI that enables systems to learn from data.
Q000071	en	how does neural network work	D000071	Neural networks are computing systems inspired by biological neurons.
Q000072	en	explain deep learning	D000072	Deep learning uses multiple layers of neural networks.
Q000073	en	what is transfer learning	D000073	Transfer learning reuses knowledge from one task to another.
Q000074	en	transformer architecture	D000074	Transformers use attention mechanisms for sequence processing.
Q000075	en	what is machine learning	D000075	Machine learning is a subset of AI that enables systems to learn from data.
Q000076	en	how does neural network work	D000076	Neural networks are computing systems inspired by biological neurons.
Q000077	en	explain deep learning	D000077	Deep learning uses multiple layers of neural networks.
Q000078	en	what is transfer learning	D000078	Transfer learning reuses knowledge from one task to another.
Q000079	en	transformer architecture	D000079	Transformers use attention mechanisms for sequence processing.
